file,niqe
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9846_clahe.jpeg,3.29028887901835
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9847_clahe.jpeg,2.56834528470729
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9848_clahe.jpeg,2.73153890250865
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9849_clahe.jpeg,2.53408782345611
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9850_clahe.jpeg,2.85047810050459
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9851_clahe.jpeg,2.60537332702226
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9852_clahe.jpeg,2.50190710364435
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9853_clahe.jpeg,2.9712479842763
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9854_clahe.jpeg,3.0194110090441
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9855_clahe.jpeg,3.20224862821063
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9856_clahe.jpeg,2.76998632360955
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9857_clahe.jpeg,2.77227363953254
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9858_clahe.jpeg,2.72555142921788
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9859_clahe.jpeg,3.0165016170128
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9860_clahe.jpeg,2.70181714170132
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9861_clahe.jpeg,3.30625366375289
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9862_clahe.jpeg,3.80641072698131
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9863_clahe.jpeg,3.39905391842069
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9864_clahe.jpeg,3.06442411310327
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9865_clahe.jpeg,2.81718124406756
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9866_clahe.jpeg,2.83049469870381
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9867_clahe.jpeg,2.7440385459443
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9868_clahe.jpeg,3.72474700558318
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9869_clahe.jpeg,3.34146580725332
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9870_clahe.jpeg,2.48013443395896
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9871_clahe.jpeg,2.75970955512945
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9872_clahe.jpeg,3.11992550063067
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9873_clahe.jpeg,2.70628353292377
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9874_clahe.jpeg,2.626287428652
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9875_clahe.jpeg,2.7703114401851
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9876_clahe.jpeg,3.49880549308849
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9877_clahe.jpeg,3.3526338475478
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9878_clahe.jpeg,3.12030457438299
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9879_clahe.jpeg,3.58037856939922
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9880_clahe.jpeg,3.87821593651642
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9881_clahe.jpeg,2.77040048542029
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9882_clahe.jpeg,2.57268460661109
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9883_clahe.jpeg,2.43918602930984
D:\Documents\ECE 253\project\low-light_1\lowlight_test\IMG_9884_clahe.jpeg,2.67835297957843
AVERAGE,2.98844813137506
