file,niqe
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9848.jpeg,3.13623221411443
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9849.jpeg,2.86648651263855
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9850.jpeg,2.54368404060727
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9851.jpeg,3.13814504914418
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9852.jpeg,2.74540093661725
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9853.jpeg,3.77729465535595
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9854.jpeg,3.26783195368449
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9855.jpeg,3.88813564764895
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9856.jpeg,2.9672002238044
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9857.jpeg,3.92616745615437
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9858.jpeg,3.00547330513033
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9859.jpeg,4.64274313649478
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9860.jpeg,2.88594685377358
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9861.jpeg,2.5846576313819
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9862.jpeg,4.29496788961454
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9863.jpeg,4.17607331524411
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9864.jpeg,3.95951911076364
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9865.jpeg,3.42216847121205
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9866.jpeg,3.32255985431295
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9867.jpeg,3.29694079092315
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9868.jpeg,3.83160650836404
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9869.jpeg,3.56219967565022
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9870.jpeg,2.80452810964766
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9871.jpeg,3.5797937454744
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9872.jpeg,3.41087542120457
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9873.jpeg,3.10353314362432
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9874.jpeg,2.93075267765357
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9875.jpeg,3.25887021273695
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9876.jpeg,3.86481634967727
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9877.jpeg,3.44555010798767
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9878.jpeg,3.4204823780178
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9879.jpeg,3.89988164348508
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9880.jpeg,4.11087391409943
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9881.jpeg,4.12079587743293
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9882.jpeg,3.59367694183153
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9883.jpeg,2.63153068373067
D:\Documents\ECE 253\project\low-light_1\data\lowlight_small\IMG_9884.jpeg,2.81821705438497
AVERAGE,3.35720465124547
